Id,Date__c,Start_time__c,End_Time__c,HolidayName__c,On_Call_Type_c__c,RecordType.name,Registered_Manager__c,Registered_SRE__c,Shift_Worked__c,Time_Zone__c,UserRegion__c,UserSubRegion__c,RegionInformation__c,RegionInformation__r.start_time__c,RegionInformation__r.end_time__c
a1j0e000006L0NfAAK,12/10/20,18:00:00.000Z,09:00:00.000Z,,Japan,Japan,,0050e000006SXW5AAO,China Oncall Shift,(GMT+08:00) China Standard Time (Asia/Shanghai),APAC,CN-Beijing,a1i0e000003KiJ7AAK,18:00:00.000Z,09:00:00.000Z
a1j0e000006L0NkAAK,26/10/20,18:00:00.000Z,09:00:00.000Z,,Japan,Japan,,0050e000007Ag7qAAC,China Oncall Shift,(GMT+08:00) China Standard Time (Asia/Shanghai),APAC,CN-Beijing,a1i0e000003KiJ7AAK,18:00:00.000Z,09:00:00.000Z
a1j0e000006LJ2DAAW,6/10/20,18:00:00.000Z,09:00:00.000Z,,Japan_Hours,Japan_Hours,,0050e000006Rv8jAAC,China Oncall Shift,(GMT+08:00) China Standard Time (Asia/Shanghai),APAC,CN-Beijing,a1i0e000003KiJ7AAK,18:00:00.000Z,09:00:00.000Z
a1j0e000006VGPiAAO,26/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,0050e000006kofjAAA,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuQvAAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006VGPfAAO,5/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,00532000005X0z0AAC,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuQvAAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006VGPgAAO,12/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,0050e0000075Sc1AAE,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuQvAAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006VGPhAAO,19/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,0050e0000072fFJAAY,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuQvAAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006LL4rAAG,17/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006RsyX,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,09:00:00.000Z,14:30:00.000Z
a1j0e000006LL4mAAG,11/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009BaGw,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,09:00:00.000Z,14:30:00.000Z
a1j0e000006KxkOAAS,5/10/20,18:00:00.000Z,09:00:00.000Z,,Japan,Japan,,0050e000006Rv8jAAC,China Oncall Shift,(GMT+08:00) China Standard Time (Asia/Shanghai),APAC,CN-Beijing,a1i0e000003KiJ7AAK,18:00:00.000Z,09:00:00.000Z
a1j0e000006KxkPAAS,19/10/20,18:00:00.000Z,09:00:00.000Z,,Japan,Japan,,0050e000006SXW5AAO,China Oncall Shift,(GMT+08:00) China Standard Time (Asia/Shanghai),APAC,CN-Beijing,a1i0e000003KiJ7AAK,18:00:00.000Z,09:00:00.000Z
a1j0e000006VGPlAAO,9/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,00532000005Xt6UAAS,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuR0AAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006VGPnAAO,23/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,0050e0000072l9MAAQ,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuR0AAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006VGPmAAO,16/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,0050e000006Rf4CAAS,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuR0AAK,17:00:00.000Z,08:59:00.000Z
